family,method,sample_size,mean_convergence,min_convergence,max_convergence,mean_time,min_time,max_time
beta,nlminb,100,1,1,1,0.08357475700378418,0.08357475700378418,0.08357475700378418
beta,nlminb,250,1,1,1,0.08010796346664428,0.08010796346664428,0.08010796346664428
beta,nlminb,500,1,1,1,0.08262173142433167,0.08262173142433167,0.08262173142433167
beta,nlminb,1000,1,1,1,0.09758703203201294,0.09758703203201294,0.09758703203201294
beta,nlminb,5000,1,1,1,0.19350925951004028,0.19350925951004028,0.19350925951004028
beta,nr,100,1,1,1,0.0839319134235382,0.0839319134235382,0.0839319134235382
beta,nr,250,1,1,1,0.08432589249610901,0.08432589249610901,0.08432589249610901
beta,nr,500,1,1,1,0.09063546538352966,0.09063546538352966,0.09063546538352966
beta,nr,1000,1,1,1,0.09942270150184632,0.09942270150184632,0.09942270150184632
beta,nr,5000,1,1,1,0.2093446316242218,0.2093446316242218,0.2093446316242218
beta,optim,100,1,1,1,0.07709049577713013,0.07709049577713013,0.07709049577713013
beta,optim,250,1,1,1,0.07905757875442505,0.07905757875442505,0.07905757875442505
beta,optim,500,1,1,1,0.0824596743106842,0.0824596743106842,0.0824596743106842
beta,optim,1000,1,1,1,0.09129468235969543,0.09129468235969543,0.09129468235969543
beta,optim,5000,1,1,1,0.1095708878993988,0.1095708878993988,0.1095708878993988
beta,tmb,100,1,1,1,0.09831358060836792,0.09831358060836792,0.09831358060836792
beta,tmb,250,1,1,1,0.1039031524181366,0.1039031524181366,0.1039031524181366
beta,tmb,500,1,1,1,0.10990824527740478,0.10990824527740478,0.10990824527740478
beta,tmb,1000,1,1,1,0.12065706467628479,0.12065706467628479,0.12065706467628479
beta,tmb,5000,1,1,1,0.23399492144584655,0.23399492144584655,0.23399492144584655
bkw,nlminb,100,0.511,0.511,0.511,0.08982943797997998,0.08982943797997998,0.08982943797997998
bkw,nlminb,250,0.5764,0.5764,0.5764,0.10233121775323363,0.10233121775323363,0.10233121775323363
bkw,nlminb,500,0.5728,0.5728,0.5728,0.11924896335135625,0.11924896335135625,0.11924896335135625
bkw,nlminb,1000,0.5674,0.5674,0.5674,0.14541989167811462,0.14541989167811462,0.14541989167811462
bkw,nlminb,5000,0.5626,0.5626,0.5626,0.33419330273494996,0.33419330273494996,0.33419330273494996
bkw,nr,100,0.5756,0.5756,0.5756,0.10695262233609537,0.10695262233609537,0.10695262233609537
bkw,nr,250,0.6578,0.6578,0.6578,0.12041410779329592,0.12041410779329592,0.12041410779329592
bkw,nr,500,0.9536,0.9536,0.9536,0.12754718189271505,0.12754718189271505,0.12754718189271505
bkw,nr,1000,0.8316,0.8316,0.8316,0.16910181290946252,0.16910181290946252,0.16910181290946252
bkw,nr,5000,0.6552,0.6552,0.6552,0.36654371634507793,0.36654371634507793,0.36654371634507793
bkw,optim,100,0.6758,0.6758,0.6758,0.09050538646430438,0.09050538646430438,0.09050538646430438
bkw,optim,250,0.6672,0.6672,0.6672,0.09417723651698454,0.09417723651698454,0.09417723651698454
bkw,optim,500,0.688,0.688,0.688,0.10590351764545884,0.10590351764545884,0.10590351764545884
bkw,optim,1000,0.6366,0.6366,0.6366,0.1294936583246632,0.1294936583246632,0.1294936583246632
bkw,optim,5000,0.5054,0.5054,0.5054,0.28633214807529245,0.28633214807529245,0.28633214807529245
bkw,tmb,100,0.9424,0.9424,0.9424,0.11076006055485413,0.11076006055485413,0.11076006055485413
bkw,tmb,250,0.971,0.971,0.971,0.12652786905070657,0.12652786905070657,0.12652786905070657
bkw,tmb,500,0.9826,0.9826,0.9826,0.14776747347550068,0.14776747347550068,0.14776747347550068
bkw,tmb,1000,0.9894,0.9894,0.9894,0.19668842181307344,0.19668842181307344,0.19668842181307344
bkw,tmb,5000,0.9922,0.9922,0.9922,0.44807862211826033,0.44807862211826033,0.44807862211826033
ekw,nlminb,100,0.928,0.928,0.928,0.08384422032997527,0.08384422032997527,0.08384422032997527
ekw,nlminb,250,0.9966,0.9966,0.9966,0.08597304872210046,0.08597304872210046,0.08597304872210046
ekw,nlminb,500,1,1,1,0.08996813697814941,0.08996813697814941,0.08996813697814941
ekw,nlminb,1000,1,1,1,0.10492235035896301,0.10492235035896301,0.10492235035896301
ekw,nlminb,5000,1,1,1,0.2146992383480072,0.2146992383480072,0.2146992383480072
ekw,nr,100,0.8136,0.8136,0.8136,0.10494127726015674,0.10494127726015674,0.10494127726015674
ekw,nr,250,0.9848,0.9848,0.9848,0.0984732677644099,0.0984732677644099,0.0984732677644099
ekw,nr,500,0.9868,0.9868,0.9868,0.12151549883975063,0.12151549883975063,0.12151549883975063
