parameter,method,mean_abs_rel_bias,mean_bias_z,mean_coverage,overall_rank
alpha,tmb,0.038724639884945254,0.06188640569693998,0.9677216272521667,2
alpha,nlminb,0.05751244912763261,0.07842754589151643,0.9612731432814817,2.3333333333333335
alpha,optim,0.13381072712873363,0.10668558421171603,0.9609061927167061,2.6666666666666665
alpha,nr,0.13815229815494282,0.03763219570975414,0.968871333407568,3
beta,nlminb,0.23800758723066923,0.10919799383098343,0.9416650391342072,1.6666666666666667
beta,nr,0.3791275319108288,0.04692981624552863,0.9732991840959512,2.3333333333333335
beta,tmb,0.1558227786329991,0.11928287729217672,0.9780463578638237,2.6666666666666665
beta,optim,0.46038418472875625,0.1393928007944942,0.9669608183997351,3.3333333333333335
delta,nr,0.40388383231305286,0.02761732599613375,0.9621282929043202,1.6666666666666667
delta,tmb,0.14069590864761175,0.11597475446859833,0.9752261698072954,2.3333333333333335
delta,optim,0.40352400859500587,0.11275486574166783,0.9793245197735455,2.6666666666666665
delta,nlminb,2.0643658653929435,0.10703686050702643,0.9839599965537048,3.3333333333333335
gamma,nr,0.14071049253478332,0.03349205116291806,0.9847139075003887,1.6666666666666667
gamma,tmb,0.20078100861113501,0.18805630613724467,0.9248977342244412,2.3333333333333335
gamma,nlminb,0.5414835068593157,0.16285721841386316,0.9225951407313311,3
gamma,optim,0.4165009421599155,0.13413697653809664,0.8980450485918792,3
lambda,nr,0.40420201641614245,0.013746252283257633,0.9696483799707966,2
lambda,tmb,0.3811060578841828,0.2017087713928546,0.9393207336383618,2
lambda,nlminb,2.809135930239314,0.1958613567535763,0.9502725385455235,2.3333333333333335
lambda,optim,2.1563123444840904,0.2580527388997956,0.8976029869277833,3.6666666666666665
