parameter,family,method,mean_rel_bias,mean_abs_rel_bias
alpha,bkw,nlminb,0.0024336781099894233,0.0035851031709019264
alpha,bkw,tmb,-0.006199796123208978,0.006614828713173404
alpha,bkw,optim,0.012090599531163449,0.012090599531163449
alpha,bkw,nr,-0.08430154635128118,0.08430154635128118
alpha,ekw,tmb,0.05245630374230181,0.05245630374230181
alpha,ekw,nlminb,0.08054776369026398,0.08054776369026398
alpha,ekw,optim,0.08808010011260792,0.08808010011260792
alpha,ekw,nr,-0.11588129801059102,0.11588129801059102
alpha,gkw,tmb,0.028726737767181976,0.041266116075059166
alpha,gkw,nlminb,-0.15643634061951808,0.15643634061951808
alpha,gkw,optim,0.1230517775616029,0.19330983842911884
alpha,gkw,nr,0.2557932790948262,0.2823085546734435
alpha,kkw,nlminb,-0.04056698906480356,0.04056698906480356
alpha,kkw,tmb,0.08773629370821708,0.0890098369592561
alpha,kkw,nr,0.16210530893251096,0.20129583697869552
alpha,kkw,optim,0.2280389099265125,0.36887066782457845
alpha,kw,tmb,0.004232558322945357,0.004276113934935788
alpha,kw,nlminb,0.006426049092675523,0.006426049092675523
alpha,kw,optim,0.006702429746199501,0.006702429746199501
alpha,kw,nr,0.006974254760702792,0.006974254760702792
beta,bkw,tmb,-0.08068606153247743,0.08068606153247743
beta,bkw,nr,0.06507365615667003,0.08910635252117831
beta,bkw,nlminb,-0.18987838977120242,0.18987838977120242
beta,bkw,optim,0.26441547463444504,0.28476717741351376
beta,ekw,tmb,0.04598921462771921,0.04598921462771921
beta,ekw,nr,-0.018174480154079412,0.05556802803479268
beta,ekw,nlminb,0.07028188421467059,0.07028188421467059
beta,ekw,optim,0.08136916049525275,0.08136916049525275
beta,gkw,tmb,0.2828494493767836,0.2828494493767836
beta,gkw,nlminb,0.5358069883982678,0.5358069883982678
beta,gkw,nr,0.5648094437133153,0.5648094437133153
beta,gkw,optim,0.9465649226885698,0.9465649226885698
beta,kkw,tmb,0.3577892684081177,0.3577892684081177
beta,kkw,nlminb,0.3049537332725035,0.3793845291898621
beta,kkw,optim,0.7934126548032245,0.9747195997484074
beta,kkw,nr,1.16946355302884,1.16946355302884
beta,kw,tmb,0.011799899219897606,0.011799899219897606
beta,kw,optim,0.014500063298037524,0.014500063298037524
beta,kw,nlminb,0.014686144579343186,0.014686144579343186
beta,kw,nr,0.016690282256017673,0.016690282256017673
delta,beta,tmb,0.012289545588183159,0.012289545588183159
delta,beta,nr,0.01349945283474736,0.01349945283474736
delta,beta,nlminb,0.014731102568665121,0.014731102568665121
delta,beta,optim,0.014735711680975205,0.014735711680975205
delta,bkw,nr,-0.08053106057609816,0.1343809140997912
delta,bkw,tmb,0.24742998598317126,0.24742998598317126
delta,bkw,optim,0.5450527553498726,0.5450527553498726
delta,bkw,nlminb,5.509927786601201,5.509927786601201
delta,gkw,tmb,-0.17807587353377968,0.17807587353377968
delta,gkw,optim,-0.044481893714731525,0.4506886327536559
delta,gkw,nr,-0.5269104046494267,0.5269104046494267
delta,gkw,nlminb,2.2030992311761115,2.5939703134857326
delta,kkw,nlminb,0.09681932409333559,0.13883425891617535
delta,kkw,tmb,-0.1841020422611364,0.1841020422611364
delta,kkw,nr,-0.511570824675466,0.511570824675466
delta,kkw,optim,0.6036189345955196,0.6036189345955196
delta,mc,tmb,0.0815820958717883,0.0815820958717883
delta,mc,nr,-0.833057565305833,0.833057565305833
gamma,beta,tmb,0.007458055098389889,0.007458055098389889
gamma,beta,optim,0.009588473410255639,0.009588473410255639
gamma,beta,nlminb,0.009671749744066106,0.009671749744066106
gamma,beta,nr,0.009740961291058496,0.009740961291058496
gamma,bkw,nr,0.19388536279253754,0.19388536279253754
gamma,bkw,tmb,0.2484345621019871,0.2484345621019871
gamma,bkw,optim,0.7848399478049131,0.7848399478049131
gamma,bkw,nlminb,1.1439076870982459,1.1439076870982459
gamma,gkw,tmb,0.1844909755619082,0.23418168780375564
gamma,gkw,nr,0.26046510783305143,0.3493521526813609
gamma,gkw,optim,0.31240542867380255,0.4550744052645779
gamma,gkw,nlminb,0.08746833703310893,0.4708710837356351
gamma,mc,nr,-0.009863493374176403,0.009863493374176403
gamma,mc,tmb,0.3130497294404074,0.3130497294404074
lambda,ekw,tmb,0.2978434010388036,0.2978434010388036
lambda,ekw,optim,0.7247750386308636,0.7247750386308636
lambda,ekw,nr,0.9785419462403814,0.9785419462403814
lambda,ekw,nlminb,2.426695145103068,2.426695145103068
lambda,gkw,nr,-0.0980246491250191,0.21468226744819768
lambda,gkw,tmb,0.9663630448397135,0.9663630448397135
lambda,gkw,optim,4.923594158448347,4.923594158448347
lambda,gkw,nlminb,5.572921968507527,5.572921968507527
lambda,kkw,nr,0.10184649705021416,0.1050333745197719
lambda,kkw,tmb,0.23016813635343156,0.23016813635343156
lambda,kkw,nlminb,0.42779067710734797,0.42779067710734797
lambda,kkw,optim,0.8205678363730604,0.8205678363730604
lambda,mc,tmb,0.02908389413321479,0.030049649304782437
lambda,mc,nr,0.3185504774562188,0.3185504774562188
