parameter,method,mean_abs_bias,mean_abs_rel_bias,mean_abs_bias_z
alpha,nlminb,0.1242,0.06,0.09
alpha,nr,0.2787,0.14,0.04
alpha,optim,0.2851,0.14,0.12
alpha,tmb,0.0774,0.04,0.06
beta,nlminb,0.8537,0.28,0.11
beta,nr,1.0918,0.36,0.05
beta,optim,1.2145,0.4,0.14
beta,tmb,0.4675,0.16,0.12
delta,nlminb,4.0495,1.84,0.12
delta,nr,0.7661,0.27,0.03
delta,optim,0.8963,0.35,0.14
delta,tmb,0.3454,0.14,0.12
gamma,nlminb,0.8629,0.9,0.19
gamma,nr,0.3172,0.34,0.04
gamma,optim,0.4553,0.49,0.15
gamma,tmb,0.1804,0.2,0.19
lambda,nlminb,2.8318,1.89,0.17
lambda,nr,0.6615,0.44,0.02
lambda,optim,2.4146,1.61,0.21
lambda,tmb,0.5717,0.38,0.2
