parameter,family,method,sample_size,mean_bias,mean_rel_bias,mean_bias_z,mean_true_value,min_rel_bias,max_rel_bias
alpha,bkw,nlminb,100,0.11234724558764331,0.056173622793821654,0.11219600853612496,2,0.056173622793821654,0.056173622793821654
alpha,bkw,nlminb,250,0.04391007147075765,0.021955035735378825,0.07215628721058256,2,0.021955035735378825,0.021955035735378825
alpha,bkw,nlminb,500,0.0070535199017194294,0.0035267599508597147,0.017040831686264194,2,0.0035267599508597147,0.0035267599508597147
alpha,bkw,nlminb,1000,-0.007469141227723242,-0.003734570613861621,-0.024273256832641987,2,-0.003734570613861621,-0.003734570613861621
alpha,bkw,nlminb,5000,-0.001217340938026057,-6.086704690130285e-4,-0.007682147479478187,2,-6.086704690130285e-4,-6.086704690130285e-4
alpha,bkw,nr,100,-0.15685840372605453,-0.07842920186302726,-0.010842235317679808,2,-0.07842920186302726,-0.07842920186302726
alpha,bkw,nr,250,-0.10935798968044508,-0.05467899484022254,-0.0038157632782768055,2,-0.05467899484022254,-0.05467899484022254
alpha,bkw,nr,500,-0.023725746476649157,-0.011862873238324578,-5.83674528950376e-4,2,-0.011862873238324578,-0.011862873238324578
alpha,bkw,nr,1000,-0.15167901273519013,-0.07583950636759507,-0.002207172434676798,2,-0.07583950636759507,-0.07583950636759507
alpha,bkw,nr,5000,-0.14868282519080078,-0.07434141259540039,-0.08098018953108334,2,-0.07434141259540039,-0.07434141259540039
alpha,bkw,optim,100,0.25834565941486387,0.12917282970743194,0.18702835835530157,2,0.12917282970743194,0.12917282970743194
alpha,bkw,optim,250,0.07675387709766479,0.038376938548832396,0.09146165180845263,2,0.038376938548832396,0.038376938548832396
alpha,bkw,optim,500,-9.779283852697773e-4,-4.889641926348887e-4,-0.0016012743170546373,2,-4.889641926348887e-4,-4.889641926348887e-4
alpha,bkw,optim,1000,0.016314058061122072,0.008157029030561036,0.03809693452273301,2,0.008157029030561036,0.008157029030561036
alpha,bkw,optim,5000,2.274078191963902e-4,1.137039095981951e-4,0.0011725296067103693,2,1.137039095981951e-4,1.137039095981951e-4
alpha,bkw,tmb,100,-0.036291546608224756,-0.018145773304112378,-0.03321685495367397,2,-0.018145773304112378,-0.018145773304112378
alpha,bkw,tmb,250,-0.012403900832790304,-0.006201950416395152,-0.017425761791047947,2,-0.006201950416395152,-0.006201950416395152
alpha,bkw,tmb,500,-0.010286911226217166,-0.005143455613108583,-0.020569896643329134,2,-0.005143455613108583,-0.005143455613108583
alpha,bkw,tmb,1000,-0.005090765514679685,-0.0025453827573398424,-0.014503410893258949,2,-0.0025453827573398424,-0.0025453827573398424
alpha,bkw,tmb,5000,0.002075162949822129,0.0010375814749110646,0.012940922930303515,2,0.0010375814749110646,0.0010375814749110646
alpha,ekw,nlminb,100,0.5383793709230518,0.2691896854615259,0.28342351247036607,2,0.2691896854615259,0.2691896854615259
alpha,ekw,nlminb,250,0.14997295468952387,0.07498647734476194,0.141516860433507,2,0.07498647734476194,0.07498647734476194
alpha,ekw,nlminb,500,0.07402723466234207,0.037013617331171034,0.1012067262721664,2,0.037013617331171034,0.037013617331171034
alpha,ekw,nlminb,1000,0.03117232424325067,0.015586162121625335,0.06115314447413983,2,0.015586162121625335,0.015586162121625335
alpha,ekw,nlminb,5000,0.009141518267514304,0.004570759133757152,0.04049763056374779,2,0.004570759133757152,0.004570759133757152
alpha,ekw,nr,100,-0.09119510008092391,-0.045597550040461954,-0.002872365950780128,2,-0.045597550040461954,-0.045597550040461954
alpha,ekw,nr,250,-0.04220164818008798,-0.02110082409004399,-0.0048826689511126675,2,-0.02110082409004399,-0.02110082409004399
alpha,ekw,nr,500,-0.4214869422148484,-0.2107434711074242,-0.05882290233421993,2,-0.2107434711074242,-0.2107434711074242
alpha,ekw,nr,1000,-0.41593716104652767,-0.20796858052326384,-0.050265921779351255,2,-0.20796858052326384,-0.20796858052326384
alpha,ekw,nr,5000,-0.20208247922304623,-0.10104123961152311,-0.007958177875098862,2,-0.10104123961152311,-0.10104123961152311
alpha,ekw,optim,100,0.6220873721923992,0.3110436860961996,0.33495320623604946,2,0.3110436860961996,0.3110436860961996
alpha,ekw,optim,250,0.15672738496562166,0.07836369248281083,0.14749619668392575,2,0.07836369248281083,0.07836369248281083
alpha,ekw,optim,500,0.08208491657243977,0.041042458286219885,0.11224009489956038,2,0.041042458286219885,0.041042458286219885
alpha,ekw,optim,1000,0.042177586305269354,0.021088793152634677,0.08255638603901416,2,0.021088793152634677,0.021088793152634677
alpha,ekw,optim,5000,0.00524668427703201,0.002623342138516005,0.0232345938248766,2,0.002623342138516005,0.002623342138516005
alpha,ekw,tmb,100,0.30887103809576866,0.15443551904788433,0.1936955142112779,2,0.15443551904788433,0.15443551904788433
alpha,ekw,tmb,250,0.12126235767551874,0.06063117883775937,0.12042415127499659,2,0.06063117883775937,0.06063117883775937
alpha,ekw,tmb,500,0.06301481635755302,0.03150740817877651,0.08834435449701131,2,0.03150740817877651,0.03150740817877651
alpha,ekw,tmb,1000,0.024684521894306588,0.012342260947153294,0.04899537169571796,2,0.012342260947153294,0.012342260947153294
alpha,ekw,tmb,5000,0.006730303399871129,0.0033651516999355646,0.02985935059089272,2,0.0033651516999355646,0.0033651516999355646
alpha,gkw,nlminb,100,-0.27456493584468,-0.13728246792234,-0.08020241424804411,2,-0.13728246792234,-0.13728246792234
alpha,gkw,nlminb,250,-0.364261571207507,-0.1821307856037535,-0.14288431301599971,2,-0.1821307856037535,-0.1821307856037535
alpha,gkw,nlminb,500,-0.37358146572438367,-0.18679073286219183,-0.176940933275836,2,-0.18679073286219183,-0.18679073286219183
alpha,gkw,nlminb,1000,-0.37876888787312946,-0.18938444393656473,-0.19988242587746022,2,-0.18938444393656473,-0.18938444393656473
alpha,gkw,nlminb,5000,-0.17318654554548063,-0.08659327277274032,-0.12176266273964495,2,-0.08659327277274032,-0.08659327277274032
alpha,gkw,nr,100,0.3978658159801127,0.19893290799005636,0.006294635269190304,2,0.19893290799005636,0.19893290799005636
alpha,gkw,nr,250,1.2280263889661795,0.6140131944830898,0.0077169206009585975,2,0.6140131944830898,0.6140131944830898
alpha,gkw,nr,500,-0.13257637789308685,-0.06628818894654342,-6.978866034136807e-4,2,-0.06628818894654342,-0.06628818894654342
alpha,gkw,nr,1000,0.21184502546896766,0.10592251273448383,7.842273133415314e-4,2,0.10592251273448383,0.10592251273448383
alpha,gkw,nr,5000,0.8527719384260886,0.4263859692130443,0.006343201113900566,2,0.4263859692130443,0.4263859692130443
alpha,gkw,optim,100,0.1583832077131504,0.0791916038565752,0.0321610701696974,2,0.0791916038565752,0.0791916038565752
alpha,gkw,optim,250,0.3420629372112254,0.1710314686056127,0.07837672347032679,2,0.1710314686056127,0.1710314686056127
alpha,gkw,optim,500,-0.3512903043375797,-0.17564515216878984,-0.14268938635735848,2,-0.17564515216878984,-0.17564515216878984
alpha,gkw,optim,1000,0.7914845574768563,0.39574227873842815,0.2940466747988089,2,0.39574227873842815,0.39574227873842815
alpha,gkw,optim,5000,0.28987737755237664,0.14493868877618832,0.22650730569919053,2,0.14493868877618832,0.14493868877618832
alpha,gkw,tmb,100,0.06873627702413376,0.03436813851206688,0.0255717387386756,2,0.03436813851206688,0.03436813851206688
alpha,gkw,tmb,250,0.16833164018472857,0.08416582009236429,0.06751302652358596,2,0.08416582009236429,0.08416582009236429
alpha,gkw,tmb,500,0.08147803015014654,0.04073901507507327,0.03864065893094703,2,0.04073901507507327,0.04073901507507327
alpha,gkw,tmb,1000,0.03141832185219684,0.01570916092609842,0.0175482556747993,2,0.01570916092609842,0.01570916092609842
alpha,gkw,tmb,5000,-0.06269689153938596,-0.03134844576969298,-0.053135479761857556,2,-0.03134844576969298,-0.03134844576969298
alpha,kkw,nlminb,100,0.15778104574120944,0.07889052287060472,0.020338694877021002,2,0.07889052287060472,0.07889052287060472
alpha,kkw,nlminb,250,0.09060493667712821,0.045302468338564106,0.015626423150015382,2,0.045302468338564106,0.045302468338564106
