family,config_name,method,sample_size,convergence_rate
kkw,s_kkw,nlminb,100,0.2118
kkw,s_kkw,nlminb,250,0.2646
kkw,s_kkw,nlminb,500,0.3274
gkw,s_gkw,nlminb,100,0.3316
kkw,s_kkw,nlminb,1000,0.358
gkw,s_gkw,nlminb,250,0.3738
bkw,s_bkw,nlminb,100,0.3916
gkw,s_gkw,nlminb,500,0.3924
gkw,s_gkw,nlminb,1000,0.4066
gkw,s_gkw,nlminb,5000,0.4138
kkw,s_kkw,nlminb,5000,0.446
gkw,s_gkw,nr,100,0.4498
bkw,s_bkw,optim,100,0.4654
bkw,s_bkw,optim,5000,0.488
bkw,s_bkw,nlminb,250,0.4932
bkw,s_bkw,optim,250,0.4956
bkw,s_bkw,nr,100,0.5046
bkw,s_bkw,nlminb,500,0.5318
bkw,s_bkw,nlminb,1000,0.5428
bkw,s_bkw,nlminb,5000,0.5454
bkw,s_bkw,optim,1000,0.5478
gkw,s_gkw,optim,5000,0.5498
bkw,s_bkw,optim,500,0.5628
kkw,s_kkw,optim,5000,0.569
bkw,s_bkw,nr,250,0.5914
gkw,s_gkw,optim,1000,0.6
gkw,s_gkw,nr,5000,0.6172
kkw,s_kkw,optim,500,0.6182
kkw,s_kkw,nr,100,0.6248
bkw,s_bkw,nr,5000,0.6408
kkw,s_kkw,optim,1000,0.6418
kkw,s_kkw,optim,250,0.648
kkw,s_kkw,optim,100,0.662
gkw,s_gkw,optim,100,0.7
gkw,s_gkw,optim,250,0.7048
kkw,s_kkw,nr,500,0.7294
gkw,s_gkw,optim,500,0.7436
mc,s_mc,nr,100,0.7514
gkw,s_gkw,nr,250,0.768
